id,品名,陽極_過站時間,來料碼,產品狀態,不良名稱,鍛壓模穴號,退火批號,熔鑄批號,鍛壓時間
2096296,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G04-01-03071601XX-F51-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096295,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H05-03-03071601XX-F73-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096294,Y20Housing,2025-09-02,IN-6R01-5H18422003G-801H20-A07-01-03070401XX-F18-XXXXCXXXXXXXX-A107080706207080101-07092601,良品,,創新C-A,03070401,5H18422003G,
2096293,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-G06-03-03062001XX-F50-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062001,5H18422001G,2025-08-14
2096292,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-M03-02-03062601XX-F48-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062601,5H18422001G,2025-08-18
2096291,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D05-03-03071201XX-F70-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071201,5H18422002G,2025-08-21
2096290,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-L05-02-03062401XX-F51-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-2#,03062401,5H18422001G,2025-08-15
2096289,Y20Housing,2025-09-02,IM-6R01-5F21422003G-301F25-B01-01-03051601XX-F52-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03051601,5F21422003G,2025-08-19
2096288,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D06-01-03071601XX-F34-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096287,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C07-02-03062601XX-F15-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062601,5H18422001G,2025-08-18
2096286,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F02-03-03071201XX-F51-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03071201,5H18422002G,2025-08-22
2096285,Y20Housing,2025-09-02,IN-6R01-5H18422003G-801H20-D03-02-03070401XX-F01-XXXXCXXXXXXXX-A207080706207090101-07101101,良品,,創新C-A,03070401,5H18422003G,
2096284,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H05-03-03071601XX-F16-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-21
2096283,Y20Housing,2025-09-02,IM-6R01-5J21422003G-501J23-B06-03-03071801XX-F51-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071801,5J21422003G,2025-08-27
2096282,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D04-04-03071601XX-F70-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-24
2096281,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C01-03-03062601XX-F89-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062601,5H18422001G,2025-08-18
2096280,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-J08-04-03062401XX-F06-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-2#,03062401,5H18422001G,2025-08-16
2096279,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-L04-01-03071601XX-F06-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096278,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H05-01-03071601XX-F84-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096277,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-B02-02-03071201XX-F81-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03071201,5H18422002G,2025-08-22
2096276,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C07-02-03062601XX-F79-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062601,5H18422001G,2025-08-18
2096275,Y20Housing,2025-09-02,IM-6R01-5H18422003G-801H20-L03-03-03062601XX-F75-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062601,5H18422003G,2025-08-18
2096274,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-E02-01-03062401XX-F27-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062401,5H18422001G,2025-08-20
2096273,Y20Housing,2025-09-02,IM-6R01-5J21422003G-501J23-A06-01-03072301XX-F28-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03072301,5J21422003G,2025-08-26
2096272,Y20Housing,2025-09-02,IN-6R01-5H18422003G-801H20-D04-01-03070401XX-F20-XXXXCXXXXXXXX-A207080706207090101-07101101,良品,,創新C-A,03070401,5H18422003G,
2096271,Y20Housing,2025-09-02,IN-6R01-5H18422003G-801H20-C07-04-03070401XX-F10-XXXXCXXXXXXXX-A107090706207100101-07110401,良品,,創新C-A,03070401,5H18422003G,
2096270,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E04-02-03071601XX-F17-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-23
2096269,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F02-01-03071201XX-F42-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03071201,5H18422002G,2025-08-22
2096268,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G04-01-03071601XX-F89-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096267,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F02-01-03071201XX-F41-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXX14,良品,,FX-未知,03071201,5H18422002G,
2096266,Y20Housing,2025-09-02,IM-6R01-5H18422003G-801H20-J03-03-03062601XX-F70-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062601,5H18422003G,2025-08-18
2092102,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D01-01-03071201XX-F82-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,直線白印,FX-102-2#,03071201,5H18422002G,2025-08-21
2092103,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G02-04-03071601XX-F22-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,直線白印,FX-102-1#,03071601,5H18422002G,2025-08-22
2096265,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C03-01-03062401XX-F78-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062401,5H18422001G,2025-08-19
2096264,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H04-04-03071601XX-F56-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096263,Y20Housing,2025-09-02,IM-6R01-5F21422003G-301F25-B01-02-03051601XX-F08-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03051601,5F21422003G,2025-08-19
2096262,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E08-04-03071601XX-F34-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03071601,5H18422002G,2025-08-23
2092101,Y20Housing,2025-09-02,IM-6R01-5J21422003G-501J23-E03-02-03072301XX-F40-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,四側面打磨異色,FX-602-2#,03072301,5J21422003G,2025-08-26
2096261,Y20Housing,2025-09-02,IN-6R01-5H18422003G-801H20-C06-03-03070401XX-F12-XXXXCXXXXXXXX-A207090706207100101-07110401,良品,,創新C-A,03070401,5H18422003G,
2096260,Y20Housing,2025-09-02,IM-6R01-5J21422003G-501J23-K07-01-03071801XX-F34-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071801,5J21422003G,2025-08-26
2096259,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-G01-01-03062401XX-F62-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-1#,03062401,5H18422001G,2025-08-15
2096258,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F07-02-03071601XX-F63-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096257,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E01-04-03071601XX-F80-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096256,Y20Housing,2025-09-02,IM-6R01-5F21422003G-301F25-B01-01-03051601XX-F22-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03051601,5F21422003G,2025-08-19
2096255,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-A05-01-03071201XX-F16-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-23
2096254,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-F07-01-03062601XX-F37-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062601,5H18422001G,2025-08-18
2096253,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-M03-02-03062601XX-F52-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062601,5H18422001G,2025-08-18
2096252,Y20Housing,2025-09-02,IM-6R01-5H18422003G-801H20-J05-02-03062601XX-F53-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062601,5H18422003G,2025-08-18
2096251,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-J01-04-03071601XX-F09-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096250,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-J07-04-03062401XX-F04-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-1#,03062401,5H18422001G,2025-08-15
2096249,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C08-03-03062401XX-F63-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062401,5H18422001G,2025-08-16
2096248,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-A05-03-03071201XX-F04-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-21
2096247,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G04-04-03071601XX-F31-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-23
2096246,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D05-03-03071201XX-F61-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071201,5H18422002G,2025-08-21
2096245,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-K08-02-03071201XX-F35-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03071201,5H18422002G,2025-08-22
2096244,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E01-01-03071601XX-F73-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096243,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H04-02-03071601XX-F45-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096242,Y20Housing,2025-09-02,IM-6R01-5H18422003G-801H20-F04-01-03070601XX-F52-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03070601,5H18422003G,2025-08-20
2096241,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-F03-03-03062401XX-F85-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062401,5H18422001G,2025-08-19
